TCID	Gene symbol	GenBank	Fold change	p-value	Gene name
10399677	Cox7a2l	NM_001159529	-1.15	4.66E-02	cytochrome c oxidase subunit VIIa polypeptide 2-like
10428222	Ncald	NM_134094	-1.16	4.53E-02	neurocalcin delta
10424559	Khdrbs3	NM_010158	-1.16	4.92E-02	KH domain containing, RNA binding, signal transduction associated 3
10414417	Peli2	NM_033602	-1.16	4.55E-02	pellino 2
10492335	Rap2b	NM_028712	-1.17	4.99E-02	RAP2B, member of RAS oncogene family
10495083	Kcnd3	NM_001039347	-1.17	4.47E-02	potassium voltage-gated channel, Shal-related family, member 3
10598798	Kdm6a	NM_009483	-1.17	4.08E-02	4lysine (K)-specific demethylase 6A
10586700	Rora	NM_013646	-1.17	4.57E-02	RAR-related orphan receptor alpha
10550860	Zfp108	NM_018791	-1.18	4.80E-02	zinc finger protein 108
10352396	Trp53bp2	NM_173378	-1.18	3.93E-02	transformation related protein 53 binding protein 2
10402142	Ccdc88c	NM_026681	-1.18	4.22E-02	coiled-coil domain containing 88C
10557009	Eef2k	NM_007908	-1.18	3.97E-02	eukaryotic elongation factor-2 kinase
10579012	Csgalnact1	NM_172753	-1.18	4.22E-02	chondroitin sulfate N-acetylgalactosaminyltransferase 1
10361007	Smyd2	NM_026796	-1.18	3.84E-02	SET and MYND domain containing 2
10411464	Fcho2	NM_172591	-1.19	4.63E-02	FCH domain only 2
10395733	Npas3	NM_013780	-1.19	4.22E-02	neuronal PAS domain protein 3
10449940	Cyp4f14	NM_022434	-1.19	4.06E-02	cytochrome P450, family 4, subfamily f, polypeptide 14
10579356	Pik3r2	NM_008841	-1.19	4.09E-02	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 2 (p85 beta)
10537157	Akr1b10	NM_172398	-1.19	4.57E-02	aldo-keto reductase family 1, member B10 (aldose reductase)
10585494	Ube2q2	NM_180600	-1.20	3.91E-02	ubiquitin-conjugating enzyme E2Q (putative) 2
10354085	Rev1	NM_019570	-1.20	4.21E-02	REV1 homolog (S. cerevisiae)
10604564	Gpc4	NM_008150	-1.20	4.95E-02	glypican 4
10430851	Cyp2d22	NM_019823	-1.20	3.91E-02	cytochrome P450, family 2, subfamily d, polypeptide 22
10435305	Itgb5	NM_001145884	-1.20	4.92E-02	integrin beta 5
10423363	Ank	NM_020332	-1.20	3.77E-02	progressive ankylosis
10380384	Ankrd40	NM_027799	-1.20	3.91E-02	ankyrin repeat domain 40
10457475	Abhd3	NM_134130	-1.20	3.91E-02	abhydrolase domain containing 3
10538547	Fkbp9	NM_012056	-1.21	3.18E-02	FK506 binding protein 9
10390653	Med24	NM_011869	-1.21	3.93E-02	mediator complex subunit 24
10546775	Trnt1	NM_027296	-1.21	3.45E-02	tRNA nucleotidyl transferase, CCA-adding, 1
10456383	Impa2	NM_053261	-1.21	3.71E-02	inositol (myo)-1(or 4)-monophosphatase 2
10529547	NA	ENSMUST00000119916	-1.21	3.73E-02	NA
10478374	Gdap1l1	NM_144891	-1.21	3.46E-02	ganglioside-induced differentiation-associated protein 1-like 1
10568638	Uros	NM_009479	-1.21	4.91E-02	uroporphyrinogen III synthase
10586176	Snapc5	NM_183316	-1.22	4.63E-02	small nuclear RNA activating complex, polypeptide 5
10497309	Snx16	NM_029068	-1.22	4.20E-02	sorting nexin 16
10406598	Serinc5	NM_172588	-1.22	4.68E-02	serine incorporator 5
10355996	Slc25a5	NM_007451	-1.22	4.84E-02	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5
10490602	Eef1a2	NM_007906	-1.22	3.00E-02	eukaryotic translation elongation factor 1 alpha 2
10460468	Ctsf	NM_019861	-1.22	2.03E-02	cathepsin F
10389581	Ypel2	NM_001005341	-1.22	2.59E-02	yippee-like 2 (Drosophila)
10511679	Decr1	NM_026172	-1.22	3.60E-02	2,4-dienoyl CoA reductase 1, mitochondrial
10534021	Rimbp2	NM_001081388	-1.22	3.84E-02	RIMS binding protein 2
10593384	Dixdc1	NM_178118	-1.22	2.36E-02	DIX domain containing 1
10474045	Chst1	NM_023850	-1.23	4.15E-02	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
10425559	L3mbtl2	NM_145993	-1.23	4.96E-02	l(3)mbt-like 2 (Drosophila)
10496251	Bdh2	NM_027208	-1.23	2.33E-02	3-hydroxybutyrate dehydrogenase, type 2
10368918	Sobp	NM_175407	-1.23	2.68E-02	sine oculis-binding protein homolog (Drosophila)
10374364	Akt2	NM_001110208	-1.23	3.80E-02	thymoma viral proto-oncogene 2
10362104	Slc2a12	NM_178934	-1.23	4.34E-02	solute carrier family 2 (facilitated glucose transporter), member 12
10525677	Hip1r	NM_145070	-1.23	2.52E-02	huntingtin interacting protein 1 related
10419977	Ap1g2	NM_007455	-1.23	3.42E-02	adaptor protein complex AP-1, gamma 2 subunit
10439542	Zdhhc23	NM_001007460	-1.24	4.61E-02	zinc finger, DHHC domain containing 23
10362811	Sesn1	NM_001013370	-1.24	4.89E-02	sestrin 1
10362511	Gstm3	NM_010359	-1.24	2.12E-02	glutathione S-transferase, mu 3
10541114	Rasgef1a	NM_027526	-1.24	4.88E-02	RasGEF domain family, member 1A
10543460	Tmem229a	NM_177013	-1.24	4.66E-02	transmembrane protein 229A
10543428	Iqub	NM_172535	-1.24	3.74E-02	IQ motif and ubiquitin domain containing
10488060	Jag1	NM_013822	-1.24	4.89E-02	jagged 1
10425601	Tef	NM_153484	-1.25	2.52E-02	thyrotroph embryonic factor
10412435	E130304F04Rik	NM_175538	-1.25	3.74E-02	RIKEN cDNA E130304F04 gene
10344837	Prex2	NM_029525	-1.25	1.54E-02	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2
10353192	Eya1	NM_010164	-1.25	2.12E-02	eyes absent 1 homolog (Drosophila)
10384572	1110067D22Rik	NM_173752	-1.25	3.00E-02	RIKEN cDNA 1110067D22 gene
10473118	Ube2e3	NM_009454	-1.25	4.45E-02	ubiquitin-conjugating enzyme E2E 3, UBC4/5 homolog (yeast)
10475019	Itpka	NM_146125	-1.25	1.79E-02	inositol 1,4,5-trisphosphate 3-kinase A
10558297	2700050L05Rik	BC072596	-1.26	4.47E-02	RIKEN cDNA 2700050L05 gene
10564726	Rlbp1	NM_020599	-1.26	3.36E-02	retinaldehyde binding protein 1
10531370	Naaa	NM_025972	-1.26	3.38E-02	N-acylethanolamine acid amidase
10375614	Gfpt2	NM_013529	-1.26	3.74E-02	glutamine fructose-6-phosphate transaminase 2
10599736	Fhl1	NM_001077361	-1.26	4.55E-02	four and a half LIM domains 1
10385375	Thg1l	NM_001080969	-1.26	1.79E-02	tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)
10354207	Creg2	NM_170597	-1.26	4.99E-02	cellular repressor of E1A-stimulated genes 2
10489719	2810408M09Rik	NM_001007581	-1.26	2.50E-02	RIKEN cDNA 2810408M09 gene
10396712	Fut8	NM_016893	-1.27	3.39E-02	fucosyltransferase 8
10381619	Adam11	NM_001110778	-1.27	3.23E-02	a disintegrin and metallopeptidase domain 11
10543273	Cttnbp2	NM_080285	-1.27	3.77E-02	cortactin binding protein 2
10358982	Mr1	NM_008209	-1.27	1.80E-02	major histocompatibility complex, class I-related
10374197	Ramp3	NM_019511	-1.27	1.79E-02	receptor (calcitonin) activity modifying protein 3
10356475	Arl4c	NM_177305	-1.27	3.73E-02	ADP-ribosylation factor-like 4C
10494574	Prkab2	NM_182997	-1.27	3.71E-02	protein kinase, AMP-activated, beta 2 non-catalytic subunit
10388488	NA	ENSMUST00000021207	-1.27	3.42E-02	NA
10595840	Acpl2	NM_153420	-1.27	2.36E-02	acid phosphatase-like 2
10396867	Exd2	NM_133798	-1.27	2.68E-02	exonuclease 3'-5' domain containing 2
10360972	Kcnk2	NM_001159850	-1.28	1.34E-02	potassium channel, subfamily K, member 2
10404941	Kdm1b	NM_172262	-1.28	1.85E-02	lysine (K)-specific demethylase 1B
10466735	Fam189a2	NM_001114174	-1.28	1.43E-02	family with sequence similarity 189, member A2
10585517	AI118078	BC068128	-1.28	2.33E-02	expressed sequence AI118078
10430993	NA	ENSMUST00000100370	-1.29	4.37E-02	NA
10352548	Slc30a10	NM_001033286	-1.29	3.93E-02	solute carrier family 30, member 10
10585825	Stoml1	NM_026942	-1.29	4.73E-02	stomatin-like 1
10549964	Zscan4c	NM_001013765	-1.29	4.74E-02	zinc finger and SCAN domain containing 4C
10420596	Tnfrsf19	NM_013869	-1.29	1.56E-02	tumor necrosis factor receptor superfamily, member 19
10590865	Cntn5	NM_001033359	-1.30	4.91E-02	contactin 5
10577164	Gas6	NM_019521	-1.30	2.50E-02	growth arrest specific 6
10492699	Ctso	NM_177662	-1.30	4.89E-02	cathepsin O
10476021	Sirpa	NM_007547	-1.30	2.73E-02	signal-regulatory protein alpha
10346150	Tmeff2	NM_019790	-1.31	3.19E-02	transmembrane protein with EGF-like and two follistatin-like domains 2
10390103	Pdk2	NM_133667	-1.31	3.74E-02	pyruvate dehydrogenase kinase, isoenzyme 2
10418702	Sh3bp5	NM_011894	-1.31	1.61E-02	SH3-domain binding protein 5 (BTK-associated)
10354374	Slc40a1	NM_016917	-1.31	3.09E-02	solute carrier family 40 (iron-regulated transporter), member 1
10492402	Kcnab1	NM_010597	-1.31	4.22E-02	potassium voltage-gated channel, shaker-related subfamily, beta member 1
10385175	Wwc1	NM_170779	-1.31	6.76E-03	WW, C2 and coiled-coil domain containing 1
10427796	Npr3	NM_008728	-1.31	4.07E-02	natriuretic peptide receptor 3
10582664	2310022B05Rik	BC058626	-1.32	2.83E-02	RIKEN cDNA 2310022B05 gene
10386743	Epn2	NM_010148	-1.32	2.34E-02	epsin 2
10589368	Plxnb1	NM_172775	-1.32	3.93E-02	plexin B1
10531185	Adamts3	NM_001081401	-1.32	4.89E-02	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3
10373740	Pik3ip1	NM_178149	-1.32	1.68E-02	phosphoinositide-3-kinase interacting protein 1
10360666	6330403A02Rik	BC120654	-1.32	2.01E-02	RIKEN cDNA 6330403A02 gene
10543959	Ptn	NM_008973	-1.33	4.06E-02	pleiotrophin
10349828	Lrrn2	NM_010732	-1.33	3.71E-02	leucine rich repeat protein 2, neuronal
10359255	Fam5b	NM_207583	-1.33	4.89E-02	family with sequence similarity 5, member B
10489065	Ndrg3	NM_013865	-1.33	3.74E-02	N-myc downstream regulated gene 3
10345091	B3gat2	NM_172124	-1.33	4.36E-02	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)
10484894	Ptprj	NM_008982	-1.33	4.72E-02	protein tyrosine phosphatase, receptor type, J
10600597	Tmem47	NM_175771	-1.33	4.89E-02	transmembrane protein 47
10458098	Fam13b	BC031465	-1.34	1.79E-02	family with sequence similarity 13, member B
10419578	Ndrg2	NM_013864	-1.34	2.62E-02	N-myc downstream regulated gene 2
10502845	Fam73a	NM_174868	-1.35	1.31E-02	family with sequence similarity 73, member A
10588495	Dusp7	NM_153459	-1.35	3.66E-02	dual specificity phosphatase 7
10531187	Adamts3	NM_001081401	-1.35	4.53E-02	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3
10518947	Ajap1	NM_001099299	-1.35	2.62E-02	adherens junction associated protein 1
10479685	Oprl1	NM_011012	-1.36	3.23E-02	opioid receptor-like 1
10428302	Klf10	NM_013692	-1.36	2.49E-02	Kruppel-like factor 10
10539894	Mgll	NM_011844	-1.37	3.42E-02	monoglyceride lipase
10540822	Slc6a11	NM_172890	-1.37	1.20E-02	solute carrier family 6 (neurotransmitter transporter, GABA), member 11
10455912	Isoc1	NM_025478	-1.38	2.12E-02	isochorismatase domain containing 1
10503647	Gpr63	NM_030733	-1.38	1.77E-02	G protein-coupled receptor 63
10533261	Rph3a	NM_011286	-1.38	1.77E-02	rabphilin 3A
10590298	Eif1b	NM_026892	-1.39	3.71E-02	eukaryotic translation initiation factor 1B
10538269	NA	U42384	-1.39	4.97E-02	NA
10373452	Gm129	BC132471	-1.39	4.22E-02	predicted gene 129
10489958	Kcng1	NM_001081134	-1.39	2.88E-02	potassium voltage-gated channel, subfamily G, member 1
10603746	Maob	NM_172778	-1.40	1.54E-02	monoamine oxidase B
10548038	Ntf3	NM_008742	-1.40	3.93E-02	neurotrophin 3
10485081	Dgkz	NM_138306	-1.41	8.96E-03	diacylglycerol kinase zeta
10516544	Hpca	NM_010471	-1.41	3.56E-02	hippocalcin
10388718	Pipox	NM_008952	-1.41	1.43E-02	pipecolic acid oxidase
10452485	Rab31	NM_133685	-1.42	4.69E-02	RAB31, member RAS oncogene family
10433172	Glycam1	NM_008134	-1.42	4.61E-02	glycosylation dependent cell adhesion molecule 1
10416505	Kctd4	NM_026214	-1.42	1.45E-02	potassium channel tetramerisation domain containing 4
10492556	NA	ENSMUST00000054551	-1.43	4.11E-02	NA
10517488	Ephb2	NM_010142	-1.43	1.57E-02	Eph receptor B2
10541268	Slc25a18	NM_001081048	-1.43	3.97E-02	solute carrier family 25 (mitochondrial carrier), member 18
10458560	Fgf1	NM_010197	-1.43	8.64E-03	fibroblast growth factor 1
10405355	Unc5a	NM_153131	-1.43	3.42E-02	unc-5 homolog A (C. elegans)
10436666	Jam2	NM_023844	-1.44	2.36E-02	junction adhesion molecule 2
10394674	Socs2	NM_007706	-1.44	4.15E-02	suppressor of cytokine signaling 2
10503416	Calb1	NM_009788	-1.44	4.88E-02	calbindin 1
10584280	Hepacam	NM_175189	-1.45	2.62E-02	hepatocyte cell adhesion molecule
10391490	Etv4	NM_008815	-1.46	3.30E-03	ets variant gene 4 (E1A enhancer binding protein, E1AF)
10469389	Slc39a12	NM_001012305	-1.48	1.97E-02	solute carrier family 39 (zinc transporter), member 12
10593499	AI593442	NM_178906	-1.49	1.77E-02	expressed sequence AI593442
10492355	Mme	NM_008604	-1.49	2.36E-02	membrane metallo endopeptidase
10469457	Plxdc2	NM_026162	-1.50	1.56E-02	plexin domain containing 2
10601044	Gdpd2	NM_023608	-1.51	3.45E-03	glycerophosphodiester phosphodiesterase domain containing 2
10479397	Ntsr1	NM_018766	-1.51	4.22E-02	neurotensin receptor 1
10488482	Acss1	NM_080575	-1.52	8.74E-03	acyl-CoA synthetase short-chain family member 1
10565401	Folh1	NM_016770	-1.52	3.09E-02	folate hydrolase
10476633	Pcsk2	NM_008792	-1.53	1.33E-02	proprotein convertase subtilisin/kexin type 2
10354741	Rftn2	NM_028713	-1.54	1.53E-02	raftlin family member 2
10376950	Pmp22	NM_008885	-1.54	1.08E-02	peripheral myelin protein 22
10502881	St6galnac5	NM_012028	-1.55	3.74E-02	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
10577190	Rasa3	NM_009025	-1.56	1.14E-02	RAS p21 protein activator 3
10439732	Plcxd2	NM_001134480	-1.57	2.03E-02	phosphatidylinositol-specific phospholipase C, X domain containing 2
10499285	Bcan	NM_007529	-1.60	5.18E-03	brevican
10491962	Foxo1	NM_019739	-1.60	2.11E-02	forkhead box O1
10530819	Hopx	NM_175606	-1.61	3.00E-02	HOP homeobox
10380303	Car10	NM_028296	-1.61	1.33E-02	carbonic anhydrase 10
10548899	Rerg	NM_181988	-1.62	2.16E-02	RAS-like, estrogen-regulated, growth-inhibitor
10405033	Ecm2	NM_001012324	-1.62	1.03E-02	extracellular matrix protein 2, female organ and adipocyte specific
10564507	Arrdc4	NM_001042592	-1.63	4.22E-02	arrestin domain containing 4
10503098	Lyn	NM_001111096	-1.63	3.93E-02	Yamaguchi sarcoma viral (v-yes-1) oncogene homolog
10571865	Scrg1	NM_009136	-1.63	2.59E-02	scrapie responsive gene 1
10392522	Abca8a	NM_153145	-1.69	2.59E-02	ATP-binding cassette, sub-family A (ABC1), member 8a
10490551	Nkain4	NM_021426	-1.69	1.03E-02	Na+/K+ transporting ATPase interacting 4
10366457	Ptprr	NM_011217	-1.71	3.93E-02	protein tyrosine phosphatase, receptor type, R
10585214	Cryab	NM_009964	-1.71	1.23E-03	crystallin, alpha B
10528145	Grm3	NM_181850	-1.77	1.15E-02	glutamate receptor, metabotropic 3
10421853	Lect1	NM_010701	-1.82	3.74E-02	leukocyte cell derived chemotaxin 1
10375313	Ccnjl	NM_001045530	-1.95	3.82E-02	cyclin J-like
10489705	Slc13a3	NM_054055	-1.95	2.09E-03	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3
10379153	Aldoc	NM_009657	-2.04	3.00E-02	aldolase C, fructose-bisphosphate
10406519	Hapln1	NM_013500	-2.13	1.43E-02	hyaluronan and proteoglycan link protein 1
10603764	Ndp	NM_010883	-2.14	1.57E-02	Norrie disease (pseudoglioma) (human)
10565609	Thrsp	NM_009381	-2.16	1.13E-02	thyroid hormone responsive SPOT14 homolog (Rattus)
10415132	Cmtm5	NM_026066	-2.28	1.35E-02	CKLF-like MARVEL transmembrane domain containing 5
10564713	Mfge8	NM_008594	-2.36	6.89E-03	milk fat globule-EGF factor 8 protein
10494428	Txnip	NM_001009935	-2.48	4.18E-02	thioredoxin interacting protein
